alpha_code,title
AERO1400,Introduction to Aircraft Construction and Design
AERO1560,Introduction to Aerospace Engineering
AERO2703,Aerospace Performance and Operations
AERO2705,Space Engineering 1
AERO2711,Aerospace Engineering Project 1
AERO3260,Aerodynamics 1
AERO3261,Propulsion
AERO3360,Aerospace Structures 1
AERO3460,Aerospace Design 1
AERO3465,Aerospace Design 2
AERO3560,Flight Mechanics 1
AERO3660,Aerospace Management
AERO3711,Advanced Aerospace Project 2
AERO3760,Space Engineering 2
AERO4206,Rotary Wing Aircraft
AERO4260,Aerodynamics 2
AERO4360,Aerospace Structures 2
AERO4460,Aerospace Design 3
AERO4491,Advanced Aircraft Design
AERO4560,Flight Mechanics 2
AERO4591,Advanced Flight Mechanics
AERO4701,Space Engineering 3
AERO4711,Advanced Aerospace Project 3
AERO4712,Advanced Aerospace Project 4
AERO5010,Optimisation Methods in Engineering
AERO5200,Advanced Aerodynamics
AERO5210,Foundations of Aerodynamics
AERO5211,Foundations of Propulsion Systems
AERO5301,Applied Finite Element Analysis
AERO5310,Foundations of Aerospace Structures
AERO5400,Advanced Aircraft Design Analysis
AERO5410,Foundations of Aerospace Design
AERO5500,Flight Mechanics Test and Evaluation Adv
AERO5510,Foundations of Flight Mechanics
AERO5660,Safety Systems Management
AERO5700,Space Engineering (Advanced)
AERO5750,Unmanned Air Vehicle Systems
AERO5760,Spacecraft and Satellite Design
AERO5901,Project 1 and Seminar in Aerospace Eng
AERO5902,Project 2 and Seminar in Aerospace Eng
AERO9260,Foundations of Aerodynamics
AERO9261,Foundations of Propulsion Systems
AERO9301,Applied Finite Element Analysis
AERO9360,Foundations of Aerospace Structures
AMME0011,International Exchange B
AMME0012,International Exchange C
AMME0013,International Exchange D
AMME0014,International Exchange E
AMME0015,International Exchange F
AMME0016,International Exchange G
AMME0017,International Exchange H
AMME0018,International Exchange I
AMME1362,Materials 1
AMME1550,Dynamics 1
AMME2000,Engineering Analysis
AMME2200,Thermodynamics and Fluids
AMME2261,Fluid Mechanics 1
AMME2262,Thermal Engineering 1
AMME2301,Mechanics of Solids
AMME2302,Materials 1
AMME2361,Mechanics of Solids 1
AMME2500,Engineering Dynamics
AMME2700,Instrumentation
AMME3060,Engineering Methods
AMME3110,Project A
AMME3500,System Dynamics and Control
AMME4010,Major Industrial Project
AMME4100,Practical Experience
AMME4110,Project B
AMME4111,Honours Thesis A
AMME4112,Honours Thesis B
AMME4121,Engineering Project A
AMME4122,Engineering Project B
AMME4210,Computational Fluid Dynamics
AMME4241,Renewable Energy
AMME4500,Guidance, Navigation and Control
AMME4660,Management, Employees and Industrial Relations
AMME4700,Inertial Navigation and the Kalman Filter
AMME4710,Computer Vision and Image Processing
AMME4790,Introduction to Biomechatronics
AMME4971,Tissue Engineering
AMME4981,Applied Biomedical Engineering
AMME4990,Biomedical Product Development
AMME4992,Regulatory Affairs in the Medical Industry
AMME5020,Capstone Project A
AMME5021,Capstone Project B
AMME5022,Capstone Project B Extended
AMME5101,Energy and the Environment
AMME5200,Foundations of Thermodynamics and Fluids
AMME5202,Computational Fluid Dynamics
AMME5218,Research Dissertation
AMME5222,Dissertation A
AMME5223,Dissertation B
AMME5271,Computational Nanotechnology
AMME5301,Foundations of Mechanics of Solids 1
AMME5302,Foundations of Materials 1
AMME5310,Engineering Tribology
AMME5500,Foundations of Engineering Dynamics
AMME5501,Foundations of System Dynamics and Control
AMME5510,Vibration and Acoustics
AMME5520,Advanced Control and Optimisation
AMME5601,Professional Engineering
AMME5602,Product Life Cycle Design
AMME5700,Foundations of Instrumentation
AMME5900,Project 1 in Manufacturing & Automation
AMME5901,Anatomy and Physiology for Engineers
AMME5902,Advanced Computer Aided Manufacturing
AMME5912,Crash Analysis and Design
AMME5921,Biomedical Engineering Technology 2
AMME5951,Fundamentals of Neuromodulation
AMME5961,Biomechanics and Biomaterials
AMME5971,Applied Tissue Engineering
AMME5981,Computational Biomedical Engineering
AMME5990,Biomedical Engineering Technology 1
AMME9261,Foundations of Fluid Mechanics 1
AMME9262,Foundations of Thermal Engineering 1
AMME9302,Foundations of Materials 1
AMME9501,Foundations of System Dynamics and Control
AMME9700,Foundations of Instrumentation
AMME9901,Anatomy and Physiology for Engineers
AMME9961,Biomechanics and Biomaterials
AMME9981,Computational Biomedical Engineering
ARCF9001,Modes of Inquiry: Research & Scholarship
ARCH9001,Urban Design Studio A
ARCH9002,Urban Design Studio B
ARCH9028,Conservation Methods and Practices
ARCH9031,Research Report
ARCH9040,General Elective 2
ARCH9058,General Elective 7
ARCH9059,General Elective 8
ARCH9060,Urban Design Report
ARCH9064,East Asian Arch & Urbanism (Modern)
ARCH9074,History and Theory of Conservation
ARCH9075,New Design in Old Settings
ARCH9081,Heritage Law and Policy
ARCH9082,Conservation of Traditional Materials
AWSS1001,Architectural Sketching and Drawing
AWSS2001,Public Art
AWSS2002,Site Specific Art
AWSS2010,Ceramics (Handbuilding)
AWSS2013,Digital Video
AWSS2014,Printmaking
AWSS2015,General Drawing
AWSS2018,Life Drawing
AWSS2020,Object Design
AWSS2022,Painting
AWSS2023,Photography 1
AWSS2024,Photography 2
AWSS2026,Screen Printing on Paper
AWSS2027,Sculpture
BACH1161,Introductory Behavioural Health Sciences
BACH2142,Cognitive Neuropsychology
BACH2143,Counselling &Behaviour Management for CD
BDES1012,Architectural Communications 1
BDES1023,Architectural Technologies 1
BDES1024,Art Workshop 1
BDES2010,Architecture Studio 201
BDES2012,Architectural Communications 2
BDES2024,Art Workshop 2
BDES3011,Architectural History/Theory 3
BDES3012,Architectural Communications 3
BDES3023,Architectural Technologies 3
BHSC3014,Honours Research Proposal
BHSC4001,Honours Research Seminar 1
BHSC4002,Honours Research Seminar 2
BHSC4003,Honours Thesis/Research Report A
BHSC4004,Honours Thesis/Research Report B
BIOL1001,Concepts in Biology
BIOL1002,Living Systems
BIOL1003,Human Biology
BIOL1901,Concepts of Biology
BIOL1902,Living Systems
BIOL2011,Invertebrate Zoology
BIOL2012,Vertebrates and their Origins
BIOS1155,Structure, Function and Disease A
BIOS1158,Structure, Function and Disease B
BIOS1163,Speech Science
